Minister,Date,Name of Organisation,Purpose of meeting,
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",September,Electoral Commission,Individual electoral registration,
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",September,TUC,"Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",September,"SME Panel Redfern, Bright Ideas Trust, Infoshare, Jon Harvey Associates, Sysdoc, Lingwood Management Services, Applied Network Solutions, Nexor, Walter Menteth Architects, Buddi, Premier Partnership, Informed Solutions, Knowledge Powered Solutions, Eliesha Training",Procurement,
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",September,Centre for Cyber Assessment ,Cyber security,
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",September,Electoral Commission,"Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",September,National Audit Office,Management information,
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",September,British Youth Council,"Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",September,UKPAC,"Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",September,"British Chamber of Commerce, Central Manchester University NHS Trust, BUDDI, BESA, FSB, NCVO, CBI, Hampshire County Council",SME procurement,
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",September,ERTP Board non-executive directors,Individual electoral registration,
"Parliamentary Secretary, Jo Johnson MP ",Jul,Airports Commission,Discussion on airport capacity,
"Parliamentary Secretary, Jo Johnson MP ",Jul,Risk Capital Partners,General discussion,
"Parliamentary Secretary, Jo Johnson MP ",Jul ,Korn/Ferry International,General discussion,
"Parliamentary Secretary, Jo Johnson MP ",Aug,"Hugo Dixon, Reuters News",General discussion,
"Parliamentary Secretary, Jo Johnson MP ",Aug,CBI,Discussion of economic issues and CBI policy work stream,
"Parliamentary Secretary, Jo Johnson MP ",Aug,Rothschild,"Discussion of economic, growth and infrastructure issues",
"Parliamentary Secretary, Jo Johnson MP ",Aug,Quiller Consultants,General discussion,
"Parliamentary Secretary, Jo Johnson MP ",Sep,Hermes GPE,General discussion,
"Parliamentary Secretary, Jo Johnson MP ",Sep,Clifford Chance,Discussion of European issues,
"Parliamentary Secretary, Jo Johnson MP ",Sep,Cuadrilla,Discussion of energy issues,
"Minister without Portfolio, The Rt Hon Grant Shapps",Jul,"Representatives of the General Aviation sector including members from AOPA, BBGA, EGLID and GAAC",Red Tape Challenge,
"Minister without Portfolio, The Rt Hon Grant Shapps",Sep,"Ian Katz and Allegra Stratton, Newsnight",General discussion/Political,
"Minister without Portfolio, The Rt Hon Grant Shapps",Sep,"Martin Ivens, Sunday Times",General discussion/Political,
"Minister without Portfolio, The Rt Hon Grant Shapps",Sep,"Ian McGregor, Sunday Telegraph",General discussion/Political,
"Minister without Portfolio, The Rt Hon Grant Shapps",Sept,"Lisa Markwell, Independent on Sunday",General dsicussion/Political,
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",July ,"China Britain Business Council, TFP Ryder Healthcare, Queen's Medical Centre, Nottingham, BT, Jones Lang LaSalle",Trade: health,
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",July ,Cerner Limited,Trade: health,
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",July,"Barclays, HSBC, Santander, Lloyds",Export finance,
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",July,Alliance Boots,Trade: health,
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ", July,3DiFM,Trade: health,
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",September,"Agriculture and Horticulture Development Board (AHDB), Agricultural Biotechnology Council (ABC), British Beer & Pub Association, British Eggs Industry Council, British Poultry Council, British Starch Industry Association, Dairy UK, Diageo, Food and Drink Federation (FDF), Grain and Feed Trade Association (GAFTA), Hybu Cig Cymru (Meat Promotion Wales), International Meat Traders Association, NACM Cider Makers Ltd & European Cider and Fruitwine Association, National Farmers’ Union (NFU), National Farmers’ Union (NFU), Quality Meat Scotland, Rice Association, Scotch Whisky Association, Seafish, Stilton Cheese Makers’ Association",Trade: Transatlantic Trade and Investment Partnership (TTIP),
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",September,E-healthcare delegation from Middle East,Trade: health,
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",September,CBI,Export finance,
"Minister without Portfolio, The Rt Hon John Hayes MP ",July,Mothers at Home,Policy Discussion,
"Minister without Portfolio, The Rt Hon John Hayes MP ",July,"Politea, Taxpayers Alliance and IEA",Policy Discussion,
