Meeting ID,Minister,Role,Department,Start Date,End Date,Organisation,Representative,Reason,Hopspitality?,Original File,Original Row
91,Rt Hon Matthew Hancock MP,,Cabinet Office,04-2016,04-2016,Trade Union Congress,,Industrial relations,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,33
92,Rt Hon Matthew Hancock MP,,Cabinet Office,04-2016,04-2016,Institute of Directors,,Government procurement,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,34
93,Rt Hon Matthew Hancock MP,,Cabinet Office,04-2016,04-2016,Institute for Government,,Efficiency and reform of Government,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,35
94,Rt Hon Matthew Hancock MP,,Cabinet Office,04-2016,04-2016,Enterprise Nation,,Business and enterpreneurship,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,36
95,Rt Hon Matthew Hancock MP,,Cabinet Office,04-2016,04-2016,Blockchain event,,Digital transformation,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,37
96,Rt Hon Matthew Hancock MP,,Cabinet Office,04-2016,04-2016,Trade Union Congress,,Industrial relations,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,38
97,Rt Hon Matthew Hancock MP,,Cabinet Office,04-2016,04-2016,Bank of England,,Finance,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,39
98,Rt Hon Matthew Hancock MP,,Cabinet Office,04-2016,04-2016,Ken Costa,,Business sector,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,40
99,Rt Hon Matthew Hancock MP,,Cabinet Office,04-2016,04-2016,FDA,,Industrial relations,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,41
99,Rt Hon Matthew Hancock MP,,Cabinet Office,04-2016,04-2016,Prospect,,Industrial relations,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,41
100,Rt Hon Matthew Hancock MP,,Cabinet Office,05-2016,05-2016,Cambridge Graphene Centre,,Work of the centre,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,42
101,Rt Hon Matthew Hancock MP,,Cabinet Office,05-2016,05-2016,SandAire,,Investment sector,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,43
102,Rt Hon Matthew Hancock MP,,Cabinet Office,05-2016,05-2016,Innovate Finance,,Financial technology,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,44
103,Rt Hon Matthew Hancock MP,,Cabinet Office,05-2016,05-2016,Passion Capital,,Technology startups,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,45
104,Rt Hon Matthew Hancock MP,,Cabinet Office,06-2016,06-2016,Improbable,,Business and technology,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,46
105,Rt Hon Matthew Hancock MP,,Cabinet Office,06-2016,06-2016,CLA,,Rural-economic matters,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,47
106,Rt Hon Matthew Hancock MP,,Cabinet Office,06-2016,06-2016,Unison,,Industrial relations,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,48
107,Rt Hon Matthew Hancock MP,,Cabinet Office,06-2016,06-2016,NCVO,,The Third Sector,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,49
107,Rt Hon Matthew Hancock MP,,Cabinet Office,06-2016,06-2016,ACEVO,,The Third Sector,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,49
107,Rt Hon Matthew Hancock MP,,Cabinet Office,06-2016,06-2016,Social Enterprise UK,,The Third Sector,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,49
108,Rt Hon Matthew Hancock MP,,Cabinet Office,06-2016,06-2016,Oxford University,,Skills,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,50
109,Rt Hon Matthew Hancock MP,,Cabinet Office,06-2016,06-2016,The Times,,Government business,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,51
110,Rt Hon Matthew Hancock MP,,Cabinet Office,06-2016,06-2016,Fiona Melville,,Government business,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,52
110,Rt Hon Matthew Hancock MP,,Cabinet Office,06-2016,06-2016,Political Consultant,,Government business,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,52
111,Rt Hon Matthew Hancock MP,,Cabinet Office,06-2016,06-2016,The Daily Telegraph,,Government business,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,53
112,Rt Hon Matthew Hancock MP,,Cabinet Office,06-2016,06-2016,National Digital Conference,,Digital Technology,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,54
113,Rob Wilson MP,,Cabinet Office,04-2016,04-2016,The Careers,,Network of Enterprise Advisers,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,57
113,Rob Wilson MP,,Cabinet Office,04-2016,04-2016,Enterprise Company,,Network of Enterprise Advisers,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,57
114,Rob Wilson MP,,Cabinet Office,04-2016,04-2016,Pool Reinsurance Company LTD,,Risk in international voluntary sector,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,58
115,Rob Wilson MP,,Cabinet Office,04-2016,04-2016,Fundraising Regulator,,Fundraising Regulation,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,59
116,Rob Wilson MP,,Cabinet Office,04-2016,04-2016,Russell Group,,Etherington Review,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,60
117,Rob Wilson MP,,Cabinet Office,04-2016,04-2016,Scouts Association,,Youth Social Action and the National Citizen Service,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,61
118,Rob Wilson MP,,Cabinet Office,04-2016,04-2016,NCS Trust,,National Citizen Service,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,62
119,Rob Wilson MP,,Cabinet Office,04-2016,04-2016,Catch22,,Launch Event,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,63
120,Rob Wilson MP,,Cabinet Office,04-2016,04-2016,Media Trust,,Catch-up,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,64
121,Rob Wilson MP,,Cabinet Office,04-2016,04-2016,National Council for Voluntary Organisations,,National Council for Voluntary Organisations,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,65
122,Rob Wilson MP,,Cabinet Office,05-2016,05-2016,Big Society Capital,,Big Society Capital and Social Investment Bonds,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,66
123,Rob Wilson MP,,Cabinet Office,05-2016,05-2016,National Citizens Service,,National Citizen Service,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,67
124,Rob Wilson MP,,Cabinet Office,05-2016,05-2016,Numbers For Good,,Social Investment,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,68
125,Rob Wilson MP,,Cabinet Office,05-2016,05-2016,UK Parliament (Parliamentary Procurement,,Procurement and Social Enterprise,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,69
125,Rob Wilson MP,,Cabinet Office,05-2016,05-2016,Commercial Service),,Procurement and Social Enterprise,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,69
126,Rob Wilson MP,,Cabinet Office,05-2016,05-2016,Impetus PEF,,Social Impact Bonds,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,70
127,Rob Wilson MP,,Cabinet Office,05-2016,05-2016,NCS Trust,,National Citizen Service,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,71
128,Rob Wilson MP,,Cabinet Office,05-2016,05-2016,Association of Charitable Foundations Social Investment Roundtable,,Social Investment Policy,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,72
129,Rob Wilson MP,,Cabinet Office,05-2016,05-2016,Worcestershire Reconnections: SIBs Conference (Worcestershire City Council,,Social Investment Policy,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,73
129,Rob Wilson MP,,Cabinet Office,05-2016,05-2016,Vestia Community Trust,,Social Investment Policy,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,73
129,Rob Wilson MP,,Cabinet Office,05-2016,05-2016,Campaign to End Loneliness,,Social Investment Policy,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,73
129,Rob Wilson MP,,Cabinet Office,05-2016,05-2016,Councillor Marcus Hart,,Social Investment Policy,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,73
129,Rob Wilson MP,,Cabinet Office,05-2016,05-2016,Social Finance),,Social Investment Policy,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,73
130,Rob Wilson MP,,Cabinet Office,05-2016,05-2016,Reclaim Fund Ltd,,Releasing funds to good causes,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,74
131,Rob Wilson MP,,Cabinet Office,05-2016,05-2016,Age UK,,Charity Fundraising,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,75
132,Rob Wilson MP,,Cabinet Office,05-2016,05-2016,NCS Trust,,National Citizen Service,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,76
133,Rob Wilson MP,,Cabinet Office,05-2016,05-2016,Independant Dormant Assets Commission,,Dormant assets,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,77
134,Rob Wilson MP,,Cabinet Office,05-2016,05-2016,NCS Trust,,Nation Citizen Service,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,78
135,Rob Wilson MP,,Cabinet Office,06-2016,06-2016,West London Zone,,Work of the WLZ organisation,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,79
136,Rob Wilson MP,,Cabinet Office,06-2016,06-2016,Furzedown Project,,Volunteering,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,80
137,Rob Wilson MP,,Cabinet Office,06-2016,06-2016,Fundraising Regulator,,Fundraising Regulation,0,565797_cabinet_office_ministers_meetings_april_june_2016.csv,81
