Meeting ID,Minister,Role,Department,Start Date,End Date,Organization,Representative,Reason
1,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Professional Publishers Association,,Roundtable discussion on Data Protection
1,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Microsoft,,Roundtable discussion on Data Protection
1,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Facebook,,Roundtable discussion on Data Protection
1,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Mobile Marketing Association,,Roundtable discussion on Data Protection
1,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,WPP plc,,Roundtable discussion on Data Protection
2,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,BPI,,Regular roundtable on online copyright infringement
2,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,BVA,,Regular roundtable on online copyright infringement
2,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Publishers Association,,Regular roundtable on online copyright infringement
2,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Premier League,,Regular roundtable on online copyright infringement
2,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Google,,Regular roundtable on online copyright infringement
2,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,ABC Auditors,,Regular roundtable on online copyright infringement
2,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,BskyB,,Regular roundtable on online copyright infringement
2,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,TalkTalk,,Regular roundtable on online copyright infringement
2,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Facebook,,Regular roundtable on online copyright infringement
2,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,IPO,,Regular roundtable on online copyright infringement
2,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,IAB UK,,Regular roundtable on online copyright infringement
2,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,BT,,Regular roundtable on online copyright infringement
2,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Virgin Media,,Regular roundtable on online copyright infringement
2,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Motion Picture Association,,Regular roundtable on online copyright infringement
3,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Google,,General catch-up
3,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,Science Museum,,General catch-up
3,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2012-01,2012-01,TeleCity,,General catch-up
4,Mark Hobon MP,Minister for Employment,Department for Work and Pensions,2013-01,2013-01,Google,,Race for Opportunity Board Meeting
5,Rt Hon Maria Miller MP,Secretary of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Google,,Introductory meeting
6,Rt Hon Maria Miller MP,Secretary of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Asda Mobile,,Roundtable discussion on women's engagement
6,Rt Hon Maria Miller MP,Secretary of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,BT Group,,Roundtable discussion on women's engagement
6,Rt Hon Maria Miller MP,Secretary of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,EE,,Roundtable discussion on women's engagement
6,Rt Hon Maria Miller MP,Secretary of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Freeview,,Roundtable discussion on women's engagement
6,Rt Hon Maria Miller MP,Secretary of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Google Europe,,Roundtable discussion on women's engagement
6,Rt Hon Maria Miller MP,Secretary of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Huawei Technologies (UK) Co Ltd,,Roundtable discussion on women's engagement
6,Rt Hon Maria Miller MP,Secretary of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,KC,,Roundtable discussion on women's engagement
6,Rt Hon Maria Miller MP,Secretary of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Microsoft,,Roundtable discussion on women's engagement
6,Rt Hon Maria Miller MP,Secretary of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Nokia,,Roundtable discussion on women's engagement
6,Rt Hon Maria Miller MP,Secretary of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,O2,,Roundtable discussion on women's engagement
6,Rt Hon Maria Miller MP,Secretary of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,RIM ñ Blackberry,,Roundtable discussion on women's engagement
6,Rt Hon Maria Miller MP,Secretary of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Three,,Roundtable discussion on women's engagement
6,Rt Hon Maria Miller MP,Secretary of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Virgin Media,,Roundtable discussion on women's engagement
6,Rt Hon Maria Miller MP,Secretary of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Vodafone,,Roundtable discussion on women's engagement
6,Rt Hon Maria Miller MP,Secretary of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Zibrant,,Roundtable discussion on women's engagement
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Nesta,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Harper Collins,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Warner Bros.,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Creative Skill Set,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01, Google,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,ITV,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,BSkyB,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01, ACE,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,BBC,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,CBI,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Microsoft,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,UK Music,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Double Negative,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Tiga Rebellion,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Live Nation/ CC Skills,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,The Advertising Association,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Eidos,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Telegraph Media Group,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Design Council,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,PACT,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Karmarama/IPA,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Publishers Association,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Creative England,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Amazon UK,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,UKIE,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,British Fashion Council,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,RIBA,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,TSB,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Ingenious,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Sorrell Foundation,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,British Phonographic Industry,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
7,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Demos,,"To discuss data and measurement, the Creative Industries Council website, access to finance, IP and skills"
8,Jeremy Browne MP,Minister of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Google,,To discuss freedom of information on the internet
9,Jeremy Browne MP,Minister of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Human rights Sub Committee on Freedom of Expression on the Internet,,To discuss Freedom of Expression on the Internet
9,Jeremy Browne MP,Minister of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Facebook,,To discuss Freedom of Expression on the Internet
9,Jeremy Browne MP,Minister of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Global Network Initiative,,To discuss Freedom of Expression on the Internet
9,Jeremy Browne MP,Minister of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01, Article 19,,To discuss Freedom of Expression on the Internet
9,Jeremy Browne MP,Minister of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Amnesty International,,To discuss Freedom of Expression on the Internet
9,Jeremy Browne MP,Minister of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Index on Censorship,,To discuss Freedom of Expression on the Internet
9,Jeremy Browne MP,Minister of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Google,,To discuss Freedom of Expression on the Internet
9,Jeremy Browne MP,Minister of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,London Metropolitan University,,To discuss Freedom of Expression on the Internet
9,Jeremy Browne MP,Minister of State,"Department for Culture, Communications & Creative Industries",2013-01,2013-01,Reporters Without Borders,,To discuss Freedom of Expression on the Internet
10,Nick Boles MP,Parliamentary Under-Secretary of State,Department for Communities and Local Government,2013-08,2013-08,Google,,Lunch
11,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,Burberry,,To discuss general business issues
11,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,CBI,,To discuss general business issues
11,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,Tesco,,To discuss general business issues
11,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,Vodafone,,To discuss general business issues
11,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,Alliance Trust,,To discuss general business issues
11,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,Thomas Cook,,To discuss general business issues
11,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,TalkTalk,,To discuss general business issues
11,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,BAE Systems,,To discuss general business issues
11,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,All3Media,,To discuss general business issues
11,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,John,,To discuss general business issues
11,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,Tata Group,,To discuss general business issues
11,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,Prudential,,To discuss general business issues
11,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,GSK,,To discuss general business issues
12,Rt Hon Maria Miller MP,Secretary of State,Constituency Office,2013-01,2013-01,Internet Watch Foundation,,To discuss illegal and harmful online content
12,Rt Hon Maria Miller MP,Secretary of State,Constituency Office,2013-01,2013-01,Child Exploitation & Online Protection Centre,,To discuss illegal and harmful online content
12,Rt Hon Maria Miller MP,Secretary of State,Constituency Office,2013-01,2013-01,Yahoo,,To discuss illegal and harmful online content
12,Rt Hon Maria Miller MP,Secretary of State,Constituency Office,2013-01,2013-01,Google,,To discuss illegal and harmful online content
12,Rt Hon Maria Miller MP,Secretary of State,Constituency Office,2013-01,2013-01,Microsoft,,To discuss illegal and harmful online content
12,Rt Hon Maria Miller MP,Secretary of State,Constituency Office,2013-01,2013-01,Twitter,,To discuss illegal and harmful online content
12,Rt Hon Maria Miller MP,Secretary of State,Constituency Office,2013-01,2013-01,Facebook,,To discuss illegal and harmful online content
12,Rt Hon Maria Miller MP,Secretary of State,Constituency Office,2013-01,2013-01,BT,,To discuss illegal and harmful online content
12,Rt Hon Maria Miller MP,Secretary of State,Constituency Office,2013-01,2013-01,BSkyB,,To discuss illegal and harmful online content
12,Rt Hon Maria Miller MP,Secretary of State,Constituency Office,2013-01,2013-01,Virgin Media,,To discuss illegal and harmful online content
12,Rt Hon Maria Miller MP,Secretary of State,Constituency Office,2013-01,2013-01,Talk Talk,,To discuss illegal and harmful online content
12,Rt Hon Maria Miller MP,Secretary of State,Constituency Office,2013-01,2013-01,Vodafone,,To discuss illegal and harmful online content
12,Rt Hon Maria Miller MP,Secretary of State,Constituency Office,2013-01,2013-01,O2,,To discuss illegal and harmful online content
12,Rt Hon Maria Miller MP,Secretary of State,Constituency Office,2013-01,2013-01,Everything Everywhere,,To discuss illegal and harmful online content
12,Rt Hon Maria Miller MP,Secretary of State,Constituency Office,2013-01,2013-01,Three UK,,To discuss illegal and harmful online content
13,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,BPI,,Online Copyright Infringement Roundtable
13,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,FACT,,Online Copyright Infringement Roundtable
13,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01, MPAA,,Online Copyright Infringement Roundtable
13,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Publishers Association,,Online Copyright Infringement Roundtable
13,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Premier League,,Online Copyright Infringement Roundtable
13,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Google,,Online Copyright Infringement Roundtable
13,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Ofcom,,Online Copyright Infringement Roundtable
13,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,BT,,Online Copyright Infringement Roundtable
13,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Sky,,Online Copyright Infringement Roundtable
14,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Internet Watch Foundation,,Discuss illegal and harmful online content
14,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Child Exploitation & Online Protection Centre,,Discuss illegal and harmful online content
14,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Yahoo,,Discuss illegal and harmful online content
14,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Google,,Discuss illegal and harmful online content
14,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Microsoft,,Discuss illegal and harmful online content
14,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Twitter,,Discuss illegal and harmful online content
14,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Facebook,,Discuss illegal and harmful online content
14,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,BT,,Discuss illegal and harmful online content
14,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,BSkyB,,Discuss illegal and harmful online content
14,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Virgin Media,,Discuss illegal and harmful online content
14,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Talk Talk,,Discuss illegal and harmful online content
14,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Vodafone,,Discuss illegal and harmful online content
14,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Everything Everywhere,,Discuss illegal and harmful online content
14,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Three UK,,Discuss illegal and harmful online content
15,Nicky Morgan MP,Assistant Whip,HM Treasury,2013-01,2013-01,Google,,Briefing on Google activity on protecting children from online pornography; tax issues and cyber security
16,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,UK Music,,Roundtable to discuss Online Video age ratings
16,Ed Vaizey MP,"Minister for Culture, Communications & Creative Industries","Department for Culture, Communications & Creative Industries",2013-01,2013-01,Google,,Roundtable to discuss Online Video age ratings
17,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,Talk Talk,,Online Protection Summit
17,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,Talk Talk,,Online Protection Summit
17,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,BT Group,,Online Protection Summit
17,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,Sky,,Online Protection Summit
17,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,Google,,Online Protection Summit
17,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,Microsoft,,Online Protection Summit
17,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,NSPCC,,Online Protection Summit
17,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,Internet Watch Foundation,,Online Protection Summit
17,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,NCA,,Online Protection Summit
17,The Rt Hon David Cameron MP,Prime Minister,Cabinet Office,2013-01,2013-01,UK-US Taskforce,,Online Protection Summit
18,Rt Hon Nick Clegg MP,Deputy Primie Minister,Cabinet Office,2013-01,2013-01,ig Brother Watch,,Seminar on Big Data and Accountability
18,Rt Hon Nick Clegg MP,Deputy Primie Minister,Cabinet Office,2013-01,2013-01,Brunel University,,Seminar on Big Data and Accountability
18,Rt Hon Nick Clegg MP,Deputy Primie Minister,Cabinet Office,2013-01,2013-01,MET Police,,Seminar on Big Data and Accountability
18,Rt Hon Nick Clegg MP,Deputy Primie Minister,Cabinet Office,2013-01,2013-01,Demos,,Seminar on Big Data and Accountability
18,Rt Hon Nick Clegg MP,Deputy Primie Minister,Cabinet Office,2013-01,2013-01, Facebook,,Seminar on Big Data and Accountability
18,Rt Hon Nick Clegg MP,Deputy Primie Minister,Cabinet Office,2013-01,2013-01,Google,,Seminar on Big Data and Accountability
18,Rt Hon Nick Clegg MP,Deputy Primie Minister,Cabinet Office,2013-01,2013-01,Interceiption of Communications Commisionerís office,,Seminar on Big Data and Accountability
18,Rt Hon Nick Clegg MP,Deputy Primie Minister,Cabinet Office,2013-01,2013-01,Janet Williams,,Seminar on Big Data and Accountability
19,Jo Johnson MP,Parliamentary Secretary,Cabinet Office,2013-01,2013-01,Google,,Online security policy discussion
20,Jeremy Browne MP,Minister of State,"Department for Culture, Communications & Creative Industries",2012-01,2012-01,Google,,To discuss freedom of information on the internet.
21,Jeremy Browne MP,Minister of State,"Department for Culture, Communications & Creative Industries",2012-01,2012-01,Facebook,,Human Rights Sub Committee on Freedom of Expression on the Internet
21,Jeremy Browne MP,Minister of State,"Department for Culture, Communications & Creative Industries",2012-01,2012-01,Global Network Initiative,,Human Rights Sub Committee on Freedom of Expression on the Internet
21,Jeremy Browne MP,Minister of State,"Department for Culture, Communications & Creative Industries",2012-01,2012-01,Article 19,,Human Rights Sub Committee on Freedom of Expression on the Internet
21,Jeremy Browne MP,Minister of State,"Department for Culture, Communications & Creative Industries",2012-01,2012-01, Amnesty International,,Human Rights Sub Committee on Freedom of Expression on the Internet
21,Jeremy Browne MP,Minister of State,"Department for Culture, Communications & Creative Industries",2012-01,2012-01,Index on Censorship,,Human Rights Sub Committee on Freedom of Expression on the Internet
21,Jeremy Browne MP,Minister of State,"Department for Culture, Communications & Creative Industries",2012-01,2012-01,London Metropolitan University,,Human Rights Sub Committee on Freedom of Expression on the Internet
21,Jeremy Browne MP,Minister of State,"Department for Culture, Communications & Creative Industries",2012-01,2012-01,Reporters Without Borders,,Human Rights Sub Committee on Freedom of Expression on the Internet
